"Date","Price","Open","High","Low","Vol.","Change %"
"01-10-2011","4,215.90","3,940.85","4,236.05","3,817.35","2.83B","5.97%"
"01-09-2011","3,978.35","4,097.90","4,175.65","3,860.55","10.98B","-1.49%"
"01-08-2011","4,038.35","4,448.85","4,476.95","3,833.70","10.97B","-8.72%"
"01-07-2011","4,424.05","4,554.50","4,611.40","4,419.60","9.20B","-2.19%"
"01-06-2011","4,522.95","4,493.45","4,528.00","4,220.10","9.44B","0.67%"
"01-05-2011","4,492.90","4,624.75","4,632.90","4,303.85","8.41B","-2.65%"
"01-04-2011","4,615.30","4,627.15","4,753.50","4,582.30","9.34B","-0.24%"
"01-03-2011","4,626.45","4,273.90","4,647.60","4,273.90","9.87B","8.93%"
"01-02-2011","4,247.15","4,441.85","4,483.50","4,128.25","11.51B","-4.01%"
"01-01-2011","4,424.60","4,964.50","4,988.25","4,342.80","9.82B","-10.45%"
"01-12-2010","4,940.95","4,785.95","4,947.50","4,600.70","11.11B","3.34%"
"01-11-2010","4,781.40","5,013.80","5,212.15","4,588.90","12.70B","-3.85%"
"01-10-2010","4,972.95","4,945.40","5,159.95","4,915.10","12.75B","0.97%"
"01-09-2010","4,925.15","4,561.60","4,987.60","4,559.90","11.25B","8.55%"
"01-08-2010","4,537.25","4,501.80","4,665.10","4,497.80","10.48B","1.39%"
"01-07-2010","4,475.15","4,391.95","4,554.90","4,372.40","9.88B","1.23%"
"01-06-2010","4,420.70","4,221.70","4,432.45","4,136.95","11.21B","4.59%"
"01-05-2010","4,226.60","4,346.25","4,360.45","3,986.95","10.56B","-3.24%"
"01-04-2010","4,368.10","4,337.20","4,446.35","4,261.65","9.54B","1.27%"
"01-03-2010","4,313.25","4,170.35","4,348.05","4,158.65","9.57B","4.50%"
"01-02-2010","4,127.55","4,130.45","4,242.75","4,004.95","9.16B","-0.69%"
"01-01-2010","4,156.05","4,343.10","4,524.30","4,047.10","12.43B","-4.00%"
"01-12-2009","4,329.10","4,176.15","4,346.40","4,128.00","11.04B","4.43%"
"01-11-2009","4,145.45","3,837.00","4,216.90","3,717.65","12.54B","7.59%"
"01-10-2009","3,853.15","4,128.50","4,239.95","3,844.40","12.43B","-6.45%"
"01-09-2009","4,118.65","3,871.00","4,119.90","3,774.75","13.09B","7.25%"
"01-08-2009","3,840.25","3,778.05","3,871.25","3,567.90","13.95B","2.02%"
"01-07-2009","3,764.10","3,486.10","3,799.65","3,166.15","16.82B","8.48%"
"01-06-2009","3,469.70","3,649.85","3,766.90","3,342.65","20.77B","-3.08%"
"01-05-2009","3,579.90","2,707.45","3,612.30","2,707.45","17.96B","34.43%"
"01-04-2009","2,662.95","2,282.10","2,727.75","2,265.90","15.03B","16.04%"
"01-03-2009","2,294.85","2,070.05","2,350.30","1,953.30","10.74B","8.61%"
"01-02-2009","2,112.85","2,185.45","2,278.00","2,059.45","8.38B","-4.35%"
"01-01-2009","2,209.05","2,305.95","2,456.30","2,061.15","11.24B","-3.78%"
"01-12-2008","2,295.75","2,099.50","2,395.70","1,971.35","11.75B","9.68%"
"01-11-2008","2,093.10","2,318.80","2,490.35","1,955.30","8.63B","-5.96%"
"01-10-2008","2,225.70","3,084.00","3,119.10","1,796.90","8.91B","-27.23%"
"01-09-2008","3,058.60","3,455.20","3,619.80","2,914.60","7.61B","-12.34%"
"01-08-2008","3,489.05","3,432.60","3,721.30","3,370.25","7.33B","0.94%"
"01-07-2008","3,456.70","3,204.40","3,607.35","3,017.20","9.28B","7.91%"
"01-06-2008","3,203.35","3,987.85","3,987.85","3,191.45","7.45B","-19.10%"
